license,rubygems,cran,npm,total
ccps,2,0,0,2
haguo,0,0,1,1
mohim ali corp,0,0,7,7
openpl1,0,0,3,3
sogelink tous droits reserves,0,0,2,2
isb,0,0,2,2
cddl,0,0,16,16
concurix,0,0,1,1
mig,0,0,1,1
cosmasmallya@rocketmail.com,0,0,1,1
common pl 1,0,0,4,4
simplified bsd,0,0,44,44
ulysses,23,0,0,23
oml,0,0,7,7
rca,0,0,3,3
crevid,0,0,29,29
c0,0,0,3,3
bat,2,0,1,3
thanhnv,0,0,1,1
vistaprint,5,0,0,5
trtr,0,0,1,1
pubic domain,0,0,7,7
mouse,0,0,1,1
ida,0,0,46,46
lgpl apl,0,0,9,9
expat,42,0,0,42
mid,0,0,16,16
nhs,0,0,1,1
beerware 42,3,0,0,3
lgp,0,0,13,13
isc glp,0,0,2,2
cc sa 3,1,0,16,17
cc by sa 2,0,1,4,5
gpv2,0,0,1,1
hw,0,0,1,1
custom,4,0,26,30
c0 1,0,0,6,6
to me,0,0,1,1
lagpl,0,0,2,2
sil ofl 1.1,0,0,22,22
cluedin,0,0,5,5
nci,1,0,0,1
cc by sa 2.5,0,0,12,12
seezart,0,0,1,1
ucsd,0,0,2,2
php 31,0,0,6,6
plugin l,0,0,1,1
concurix terms of service file,0,0,1,1
mine.,0,0,1,1
espeakers,0,0,1,1
unicode tou,0,0,2,2
gpl lgpl,0,0,16,16
cc by 3,67,0,1326,1393
per code documentation heade as is,0,0,1,1
chengqianl,0,0,1,1
ami,0,0,1,1
free as in hugs,0,0,6,6
mis,0,0,29,29
nasa 1.3,4,0,1,5
open works 0.9.2,3,0,0,3
cc 1,168,0,3522,3690
gpl lesser gpl,0,0,15,15
wrapbootstrap,0,0,1,1
free binary,0,0,1,1
modified gp file,0,0,3,3
utf 8,0,0,1,1
budong,0,0,1,1
lpgl3,0,0,15,15
jsf,0,0,1,1
lexhamenglishbible.com l,0,0,1,1
cc3,0,0,3,3
to milk,0,0,1,1
glp 3,0,0,13,13
cc by 1,4,0,0,4
void,0,0,1,1
distribute left,0,0,12,12
garlictech,0,0,2,2
mtl 2,0,0,1,1
nit,3,0,0,3
cc 0,0,0,23,23
agpl,296,10,569,875
test1,0,0,1,1
cc by 4,23,2,1133,1158
utn,0,0,2,2
shiye,0,0,15,15
secure cloud storage,4,0,0,4
cc by sa 2.1,1,0,0,1
emojidex,133,0,0,133
geekjai,0,0,1,1
gpl 3,7953,6626,28961,43540
personal,0,0,22,22
asl,44,0,29,73
dlb,1,0,0,1
noramsoft,0,0,1,1
lpd,0,0,24,24
hujindi,0,0,5,5
lsc,0,0,3,3
json,0,0,34,34
sitecore shared source,0,0,5,5
bfd,0,0,1,1
hello world,0,0,1,1
sk candc,0,0,57,57
a voir,0,0,1,1
mit gpl,0,0,1,1
snl,0,0,1,1
free for use,0,0,9,9
lindanli,0,0,1,1
bhaskar,3,0,0,3
modules,0,0,2,2
k,0,0,6,6
miros,0,0,18,18
60sky,0,0,1,1
mist,0,0,2,2
ms,1,0,0,1
yy,0,0,14,14
itrack only,0,0,4,4
cba,0,0,1,1
simpl 2,1,0,0,1
scotiabank,0,0,2,2
s,0,0,1,1
python 2,0,0,1,1
zmp,0,0,2,2
whateveryouwant licencse,0,0,10,10
cc by nc sa 4,18,20,196,234
glpl 3,0,0,1,1
lgpl epl,0,0,3,3
mint,0,0,1,1
wftpl,0,0,3,3
