,495,7,0,502
SEE LICENSE IN <your-license-filename>,0,0,1,1
sblgnt.com/license,0,0,1,1
cocot,4,0,0,4
FDL-1.3,0,0,2,2
Copyright (c) ThinkNear 2014 Licensed under APLv2.0,8,0,0,8
Luigi Mattia Buffetti,0,0,5,5
Unlimited | fileLICENSE,0,1,0,1
Declaration of Independence,0,0,1,1
BSD 2-Clause license,18,0,5,23
OC,0,0,2,2
SEE LICENSE IN https://developers.google.com/terms,0,0,2,2
GFD Dennou Club,13,0,0,13
emao-fe,0,0,12,12
GPL (&ge; 3.0),0,21,0,21
MIT License - http://opensource.org/licenses/MIT,0,0,233,233
Mit license,0,0,25,25
CPOL-1.02,0,0,53,53
NPL,1,0,1,2
GPLv2 & MIT,1,0,0,1
https://github.com/cloud-fe/wowbuilder/blob/master/LICENSE,0,0,49,49
gasgasgas,0,0,1,1
RIDL,4,0,0,4
Not for pulic,0,0,1,1
Open-Source,10,0,0,10
GNUv3,23,0,6,29
UNLICENSED,67,0,7732,7799
MIT/BSD,1,0,3,4
AGPLv3 with linking exception,0,0,11,11
SEE LICENSE IN license.text,0,0,9,9
https://www.highcharts.com/license,0,0,35,35
GPL-2.0 for non-profit,0,0,3,3
OSL-3.0,72,0,52,124
TODO choose a license,1,0,0,1
PD,1,0,6,7
Affero GPL3,0,0,1,1
any,2,0,0,2
Free,4,0,66,70
Seezart,0,0,1,1
SEE LICENSE IN http://polymer.github.io/LICENSE.txt,0,0,3,3
MIT OR BSL-1.0,0,0,1,1
Eclipse,0,0,28,28
The Apache License Version 2.0. See LICENSE.txt,1,0,0,1
ly000001,0,0,7,7
MPL,14,0,584,598
SEE LICENSE in LICENSE.md,0,0,157,157
MIT License (MIT),1,0,176,177
LicenseRef-LICENSE.txt,0,0,8,8
MACOS 10.7,0,0,1,1
Simple from Marco Ceresa,2,0,0,2
a-voir,0,0,1,1
GPL-2|GPL-3| fileLICENCE[expanded from: GPL (&ge; 2) | file LICENCE],0,9,0,9
GNU GENERAL PUBLIC LICENSE V3,0,0,7,7
copyright 2014,3,0,0,3
UNIT27-license,0,0,4,4
GPL-1.0+,0,0,19,19
SurePower Innovation Enterprise License,0,0,16,16
boost,0,0,2,2
Microsoft Public License (Ms-PL),0,0,15,15
MIT| fileLICENSE,0,1,0,1
AFL/BSD,0,0,3,3
Ruby License,8,0,0,8
mmilleruva@gmail.com,0,0,2,2
WhateverYouWant Licencse,0,0,10,10
LLC,0,0,2,2
Eday Solutions,1,0,0,1
http://apache.org/licenses/LICENSE-2.0.html,1,0,0,1
API,0,0,1,1
SK C&C,0,0,57,57
AV,8,0,0,8
Creative Commons Namensnennung 4.0 International Lizenz.,21,0,0,21
GNU AFFERO GENERAL PUBLIC LICENSE Version 3,0,0,1,1
GPL-2|GPL-3[expanded from: GPL (&ge; 1.0)],0,1,0,1
gagahjt,0,0,1,1
